Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VPE1,Import Tax,ICIS Asia SE Low (n-1) with Mid guardrail,,Tax,Yes,0.2,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VPE1,Importation,ICIS Asia SE Low (n-1) with Mid guardrail,,Tax,Yes,0.06,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VPE1,Total V-PET USD/ton,ICIS Asia SE Low (n-1) with Mid guardrail,,Total Landing Cost,Yes,1198.2587999999998,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,Discount,ICIS Asia SE Low (n-1) with Mid guardrail,,Discount,Yes,0.025,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,Indorama Discount,ICIS Asia SE Low (n-1) with Mid guardrail,,Discount,Yes,-25,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,Drewry (t-1) with discount,ICIS Asia SE Low (n-1) with Mid guardrail,,Freight,Yes,73.94,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,ICIS Asia 5R MID (n-1),ICIS China Mid,,Index,No,939,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,ICIS Asia SE Low (n-1),ICIS Asia SE Low,,Index,No,852.5,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,Surcharge,ICIS Asia SE Low (n-1) with Mid guardrail,,Others,Yes,85,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
Actual,04. Valgroup.xlsx,Valgroup,Brazil,March 2026,2026,3,VRJ1,Resin with assumptions,ICIS Asia SE Low (n-1) with Mid guardrail,,Resin Index vPET,Yes,864,Total V-PET USD/ton = (((Resin with assumptions * (1 - Discount)) + Freight) * (1 + Importation + Import Tax)) + Surcharge + Indorama Discount
