Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,August 2026,2026,8,Average FOB,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1438.2882882882882,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,August 2026,2026,8,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,August 2026,2026,8,Import Clearance (%),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,August 2026,2026,8,DDP Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1634.2882882882882,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,September 2026,2026,9,ICIS Asia SE Low (M-2),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,No,1527.7511961722487,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,September 2026,2026,9,Average FOB,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1527.7511961722487,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,September 2026,2026,9,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,September 2026,2026,9,Import Clearance (%),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,September 2026,2026,9,DDP Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1723.7511961722487,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,October 2026,2026,10,ICIS Asia SE Low (M-2),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,No,1644.181256436663,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,October 2026,2026,10,Average FOB,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1644.181256436663,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,October 2026,2026,10,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,October 2026,2026,10,Import Clearance (%),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,October 2026,2026,10,DDP Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1840.181256436663,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,November 2026,2026,11,ICIS Asia SE Low (M-2),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,No,1733.4419109663406,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,November 2026,2026,11,Average FOB,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1733.4419109663406,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,November 2026,2026,11,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,November 2026,2026,11,Import Clearance (%),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,November 2026,2026,11,DDP Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1929.4419109663406,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,December 2026,2026,12,ICIS Asia SE Low (M-2),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,No,1773.8888888888887,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,December 2026,2026,12,Average FOB,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1773.8888888888887,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,December 2026,2026,12,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,December 2026,2026,12,Import Clearance (%),ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
Forecast,Pricing_Pref_ABI_PAN_Men_04_26_Cliente.xlsx,Pastiglas S.A,Panama,December 2026,2026,12,DDP Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1969.8888888888887,vPET Resin USD/Ton = (ICIS + OF) * (1 + IT) + CC
