source_file,data_type,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,resin_index_level,sourcing_country,value_source_column,value_source_header_cell,value,raw_value_text,formula,forecast_horizon_month,forecast_growth_factor,forecast_uncapped_value,forecast_guardrail_cap_pct,forecast_formula
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,34,C34,B34,Apr-2026,2026-04-01,April 2026,2026,4,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1787.451,1787.451,1787.451,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,May-2026,2026-05-01,May 2026,2026,5,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1644.4549200000001,,"Forecast May 2026 = MIN(MAX(Actual May 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",1,0.9041687862331474,1243.0521514821173,0.08,"Forecast May 2026 = MIN(MAX(Actual May 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Jun-2026,2026-06-01,June 2026,2026,6,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1512.8985264000003,,"Forecast June 2026 = MIN(MAX(Actual June 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",2,0.9041687862331474,1288.3012783891552,0.08,"Forecast June 2026 = MIN(MAX(Actual June 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Jul-2026,2026-07-01,July 2026,2026,7,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1391.8666442880003,,"Forecast July 2026 = MIN(MAX(Actual July 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",3,0.9041687862331474,1378.6394943280677,0.08,"Forecast July 2026 = MIN(MAX(Actual July 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Aug-2026,2026-08-01,August 2026,2026,8,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1401.2247264393854,,"Forecast August 2026 = MIN(MAX(Actual August 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",4,0.9041687862331474,1401.2247264393854,0.08,"Forecast August 2026 = MIN(MAX(Actual August 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Sep-2026,2026-09-01,September 2026,2026,9,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1401.2247264393854,,"Forecast September 2026 = MIN(MAX(Actual September 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",5,0.9041687862331474,1401.2247264393854,0.08,"Forecast September 2026 = MIN(MAX(Actual September 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Oct-2026,2026-10-01,October 2026,2026,10,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1355.9755995323476,,"Forecast October 2026 = MIN(MAX(Actual October 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",6,0.9041687862331474,1355.9755995323476,0.08,"Forecast October 2026 = MIN(MAX(Actual October 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Nov-2026,2026-11-01,November 2026,2026,11,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1277.1384105543207,,"Forecast November 2026 = MIN(MAX(Actual November 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",7,0.9041687862331474,1277.1384105543207,0.08,"Forecast November 2026 = MIN(MAX(Actual November 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Forecast,ICIS Price History,B18:L34 forecast,,,,Dec-2026,2026-12-01,December 2026,2026,12,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1189.0325873486179,,"Forecast December 2026 = MIN(MAX(Actual December 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025).",8,0.9041687862331474,1189.0325873486179,0.08,"Forecast December 2026 = MIN(MAX(Actual December 2025 * Growth Factor, Prior Value * (1 - 8%)), Prior Value * (1 + 8%)); Growth Factor = AVERAGE(Actual Jan-Apr 2026 / Actual Jan-Apr 2025)."
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,19,L19,B19,Jan-2025,2025-01-01,January 2025,2025,1,PET Fibre Grade FOB Asia NE Assessment Spot 2-6 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS Asia NE FOB Fibre Mid,Mid,Asia NE,L,L18,982.0,982.0,982,,,,,
