Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2023,2023,4,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4100,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2023,2023,4,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,980,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2023,2023,4,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7654.271931479011,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,April 2023,2023,4,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1468.727224691358,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,Freight,IHS (M-1),,Freight,Yes,79.77111111111111,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,Fx (M-1),IHS (M-1),,Fx,No,5.0197,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3900,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,1018.75,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7694.551796449258,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,May 2023,2023,5,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1532.870848148148,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,Freight,IHS (M-1),,Freight,Yes,93.27629629629628,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,Fx (M-1),IHS (M-1),,Fx,No,4.9828,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3750,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,938.13,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7174.406903684444,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,June 2023,2023,6,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1439.834411111111,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,Freight,IHS (M-1),,Freight,Yes,103.0874074074074,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,Fx (M-1),IHS (M-1),,Fx,No,4.8516,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4000,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,882,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6722.866468471111,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,July 2023,2023,7,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1385.700896296296,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,Freight,IHS (M-1),,Freight,Yes,107.98,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,Fx (M-1),IHS (M-1),,Fx,No,4.8008,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,3800,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,878.75,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,6692.476062361481,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,August 2023,2023,8,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1394.033507407407,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,Freight,IHS (M-1),,Freight,Yes,100.5044444444444,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,September 2023,2023,9,,Fx (M-1),IHS (M-1),,Fx,No,4.9035,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
