source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,value_source_column,value_source_header_cell,value,raw_value_text,formula
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,34,D34,B34,05-Sep-2025,2025-09-05,September 2025,2025,9,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,770.0,770.00,770.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,35,D35,B35,12-Sep-2025,2025-09-12,September 2025,2025,9,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,765.0,765.00,765.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,36,D36,B36,19-Sep-2025,2025-09-19,September 2025,2025,9,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,765.0,765.00,765.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,37,D37,B37,26-Sep-2025,2025-09-26,September 2025,2025,9,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,760.0,760.00,760.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,38,D38,B38,03-Oct-2025,2025-10-03,October 2025,2025,10,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,760.0,760.00,760.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,39,D39,B39,10-Oct-2025,2025-10-10,October 2025,2025,10,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,755.0,755.00,755.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,40,D40,B40,17-Oct-2025,2025-10-17,October 2025,2025,10,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,745.0,745.00,745.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,41,D41,B41,24-Oct-2025,2025-10-24,October 2025,2025,10,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,745.0,745.00,745.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,42,D42,B42,31-Oct-2025,2025-10-31,October 2025,2025,10,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,755.0,755.00,755.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,43,D43,B43,07-Nov-2025,2025-11-07,November 2025,2025,11,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,750.0,750.00,750.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,44,D44,B44,14-Nov-2025,2025-11-14,November 2025,2025,11,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,750.0,750.00,750.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,45,D45,B45,21-Nov-2025,2025-11-21,November 2025,2025,11,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,750.0,750.00,750.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,46,D46,B46,28-Nov-2025,2025-11-28,November 2025,2025,11,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,745.0,745.00,745.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,47,D47,B47,05-Dec-2025,2025-12-05,December 2025,2025,12,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,757.5,757.50,757.50
